Table,id,name,repository_id
branches,1,Logger,github-168152007
branches,2,master,github-168152007
branches,3,main,github-705311542
branches,4,master,github-174738528
branches,5,main,github-390373065
branches,6,main,github-659829229
Table,id,sha,date,message,branch_id,author_id
commits,118,b726f94f205a17b4f4efa5a097461d1ebc930c58,2021-02-04 14:35:42,"Update sonar-project.properties

Trying to fix path to source code...
# Path is relative to the sonar-project.properties file. Replace ""\"" by ""/"" on Windows.
sonar.sources=/github/workspace/Cobol2XML/Cobol2XML/src/cobol",2,2
commits,119,2096e7b90b9784395f57b80f928804d04bcb61bc,2021-02-04 14:30:32,"Update sonar-project.properties

Added
sonar.sources=.Cobol2XML/Cobol2XML/src/cobol
#sonar.java.binaries=
# Language
sonar.language=java",2,2
commits,120,feed91f470b527d20a39e4dbcbef69ad09e66e66,2021-02-04 14:01:23,Create main.yml,2,2
commits,121,808c2cd736e9b62a4c6e62e6882667593ad1c46f,2021-02-04 13:56:02,Create sonar-project.properties,2,2
commits,122,6831a6f2a0776f01d615fc2c12630ec6a6eaf777,2019-03-09 16:00:19,"Revert to previous. Removed comment line parsing capability (into
separate repository).",2,
commits,123,570499ffc97893bc8ce9d25319bdd35dad65e75f,2019-03-09 15:04:03,Finalise enhancements,2,
commits,124,73fc4d91b63874f473adfdc448094c20712a2811,2019-03-09 14:30:47,Solved: now full comment line included in XML output file,2,
commits,125,2b88881a1d872e3bd47e6ace8f550db62b7e5c85,2019-03-08 04:19:49,Output file produced when comment line is read from cobol source file,2,2
commits,126,52f1958f5dc72d78fc73ed3ba2f656a20f12a56a,2019-03-08 04:19:07,Merge branch 'master' of https://github.com/julianbass/Cobol2XML.git,2,2
commits,127,16fb72f0f8c20639ba8ec05b1e37a81fa909d77d,2019-03-08 04:09:23,"Added new parser feature to identify comment lines, starting with
""***---""",2,2
commits,128,bb6b17a6097fa4b294a2034379d3af4a32180d5a,2019-02-26 15:52:43,"Merge pull request #2 from afzal97/master

Merge pull request #1 from julianbass/master",2,2
commits,129,a54070c1c8b51cd9e2a5b7496a057b0565be2478,2019-02-26 15:34:37,Added more detialed cobol file called cobol.cbl,2,2
commits,130,4de5f30d1aeae4640027adf071a053b6d19fe92b,2019-02-12 20:12:08,"Merge pull request #1 from julianbass/master

Updated readme",2,
commits,131,02e532b9325bd92e8efa1fb7280a8b45f154499e,2019-03-10 07:22:21,changed line number variable from double to int,4,
commits,150,e966d2d9669d2d49bf95036804d0efebca6deb61,2023-09-03 18:23:19,Update the baraza database core files,5,
commits,151,714d30dae2b4a07388ed0a9a9536c87e338133e6,2023-09-03 18:08:19,Update the baraza database core files,5,
commits,152,d05b471488a5038431ea974670c9cd753dbee5f2,2023-09-03 10:11:03,Java 17 and tomcat 10.1 core upgrade,5,
commits,153,0e456924f5f706c69c4bbd6f3a9e7a8bc3439f42,2022-04-27 10:16:07,License update,5,
commits,154,4ce55139147a0a263d82da758210ad942a2c3630,2021-09-01 13:21:02,QA Updates,5,
commits,155,3d26852abe73381f07af44acd889d07ebf8bb7a4,2021-07-28 14:09:04,first commit,5,
commits,156,5f10b44e80b9ba48ce8078a4cc22bb66b7197328,2023-10-15 19:48:20,comit book example files,6,6
commits,157,391c9dee633519c684c6495437c440f803c01dd3,2023-06-28 18:36:46,initial installation experiments,6,6
